kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
9466429,K02786.01,2,0.996,3.8202749955563653,1.1969481893889715,6.542471960506805,4.017463517886143,6763.0,0.885419068207068,4.22,13.791
8885643,K02789.01,2,1.0,1.4819808723753782,0.8501509293696101,7.1204443723924875,6.3161172069238525,6177.0,0.6450068052320104,4.516,14.497
5652893,K02790.01,2,1.0,2.7086824218752006,0.6830968447064438,6.42648845745769,3.564449375735759,5153.0,0.5692831933375594,4.551,13.38
3241557,K02863.01,0,0.0,0.9944951374899826,0.5247285289349821,7.330405211844402,7.1589652573638975,6026.0,0.6439569363691736,4.503,13.778
8681833,K02865.01,2,0.982,0.8379221493041831,0.7654678421395714,7.412160334945205,7.483238791761071,5926.0,0.674473915294324,4.501,15.371
4138951,K02866.01,2,0.99,0.8290901368384653,0.636576829071551,7.543273346705446,8.004599338587598,6384.0,0.7352483565785808,4.419,14.135
3102384,K00273.01,2,1.0,2.4487397278044125,1.1216775615991057,6.739336627357174,4.7978545298175925,5720.0,0.7323678937132266,4.4,11.457
10471515,K02961.01,2,0.992,1.5654339232341694,0.5306282510621704,7.179307969504034,6.551294597801786,6017.0,0.7911809208313108,4.326,12.581
4935172,K02962.01,1,0.785,1.154649321217237,0.6575200029167941,7.318539548567902,7.1078267040085334,6164.0,0.7153977894947651,4.446,14.229
8760040,K02963.01,2,0.999,2.9559827454027023,1.0224509277025458,6.668228248417403,4.515573652176335,5951.0,0.8162493776939287,4.283,14.544
8760040,K02963.02,1,0.913,2.1223828333027033,0.883767540168595,6.970730078143525,5.717290824680993,5951.0,0.8162493776939287,4.283,14.544
10098844,K02964.01,2,0.985,3.8805264229426024,0.959350221334602,6.313548046277095,3.1276373444339294,6007.0,0.7542422799197561,4.353,14.089
9467404,K02717.01,2,1.0,0.6574713830820195,0.9082585601768908,7.73718007783463,8.781949976138637,6039.0,0.8808707866428946,4.169,12.41
5184911,K02719.01,2,1.0,1.6323445682258024,1.0750024230289759,6.79794041297493,5.027492411162679,4827.0,0.6004834956965259,4.508,15.141
6587105,K02721.01,2,1.0,3.5518745787840857,1.5085119938441398,6.336825731146441,3.2188758248682006,5533.0,0.7285143243972366,4.348,15.16
11662184,K02791.01,2,0.995,3.3524347211144954,1.0784095813505903,6.456769655572163,3.6793340412704048,5912.0,0.7371640659767197,4.397,14.718
11127479,K02792.01,2,1.0,1.140462941138319,0.5306282510621704,7.419979923661835,7.513463718518179,5952.0,0.8658391883780568,4.227,11.126
5428668,K02794.01,0,0.0,0.5326262020634589,1.1474024528375417,7.607878073278507,8.263670326332948,5955.0,0.6471032420585384,4.52,15.728
5041569,K02795.01,0,0.024,1.2628553826064244,1.308332819650179,7.298445101508147,7.0288040873042785,6268.0,0.7419373447293773,4.429,15.273
10604521,K02797.01,1,1.0,0.6249337835966368,0.9745596399981308,7.6246189861593985,8.33426505068744,6116.0,0.7342891238911206,4.44,15.8
9899181,K02867.01,0,0.0,0.8469666139597343,0.33647223662121295,7.1308988302963465,6.356090299434074,4947.0,0.538829820175588,4.621,12.912
9899181,K02867.02,0,0.0,2.9925302023916935,0.29266961396282,6.248042874508429,2.8735646395797834,4947.0,0.538829820175588,4.621,12.912
8884274,K02868.01,2,1.0,2.4555422499990747,1.1631508098056809,6.6039438246004725,4.260000233663683,5602.0,0.5971867894140341,4.571,15.97
7767162,K02869.01,2,1.0,1.4587099437757642,0.8878912573524571,7.342131730584722,7.20258673358713,6333.0,0.8911780310590798,4.229,13.749
4861791,K02870.01,0,0.0,1.8915307471569738,1.1346227261911428,6.887552571664617,5.381784971789299,5822.0,0.640800700187736,4.529,15.957
4385148,K02942.01,1,0.954,2.697529200968298,1.091923300517313,6.551080335043404,4.050915004294764,5745.0,0.6081338062329886,4.559,15.48
4385148,K02942.02,2,0.973,3.2298513409304763,1.1786549963416462,6.364750756851911,3.3207101307494686,5745.0,0.6081338062329886,4.559,15.48
9838468,K02943.01,2,0.948,4.014759382644399,0.9400072584914712,6.2422232654551655,2.8535925063928684,5746.0,0.7575294394892135,4.309,13.852
6781548,K02944.01,0,0.0,2.314720496222972,3.37314078387963,6.761572768804055,4.88544992867311,5899.0,0.6729444732424258,4.499,15.676
8617363,K02945.01,2,0.988,3.042020616013817,1.2584609896100056,6.439350371100098,3.61469455592456,5749.0,0.6227247162633995,4.547,15.999
11401755,K00277.02,2,0.063,2.6979894726021127,0.8960880245566356,6.885509670034818,5.375185810804614,5919.0,0.9497255079603925,4.042,11.866
7673192,K02722.01,2,0.98,1.9635813369798156,0.9202827531436926,7.039660349862076,5.992538969709248,6052.0,0.7893660383004882,4.285,13.268
7673192,K02722.02,2,1.0,2.504941942009061,0.8919980393051105,6.837332814685591,5.185708422165383,6052.0,0.7893660383004882,4.285,13.268
7673192,K02722.03,2,0.997,1.6151756142955378,0.7929925155296614,7.179307969504034,6.551722985642123,6052.0,0.7893660383004882,4.285,13.268
7673192,K02722.04,2,0.999,2.294668154576527,0.8197798314933114,6.914730892718563,5.49219687217572,6052.0,0.7893660383004882,4.285,13.268
7670943,K00269.01,2,1.0,2.945051935480856,1.0402767116551463,6.803505257608338,5.052224993855419,6477.0,0.8997547632340556,4.224,10.927
6697756,K02798.01,2,0.992,0.650313945058141,0.4700036292457356,7.10085190894405,6.231406216698073,4374.0,0.47871556984775704,4.639,14.107
5649833,K02799.01,0,0.0,0.4687112150632037,0.8064758658669484,7.84971375760487,9.229890026100877,6543.0,0.7696451515326703,4.382,13.364
10518399,K02800.01,0,0.0,1.3073498880825352,0.8064758658669484,7.249215057114389,6.831025411123408,5653.0,0.7603384301002686,4.25,14.515
5905822,K02801.01,2,1.0,2.07844732385905,0.7227059828014898,7.085901464365611,6.1755969633059,6057.0,0.9030028375472197,4.139,10.787
10793172,K02871.01,2,0.989,2.5726050927770543,0.8712933659434193,6.694562058521095,4.618777189394308,5553.0,0.7409845099741055,4.33,14.754
10793172,K02871.02,2,0.995,1.8506178513768166,0.7654678421395714,6.966024187106113,5.69618703553437,5553.0,0.7409845099741055,4.33,14.754
7136729,K02872.01,0,0.0,1.4286817066387516,0.6471032420585384,6.982862751468942,5.76591184612175,5369.0,0.5788580341578177,4.508,14.162
6364276,K02873.01,0,0.0,1.8315702358296586,0.6471032420585384,6.484635235635252,3.7871398232814557,4194.0,0.4879663296199081,4.633,15.29
4367854,K02876.01,1,0.276,1.8237751376321163,0.8628899551470398,6.729824070489475,4.756602889748301,5044.0,0.5527350268432003,4.551,14.937
5108946,K02955.01,0,0.0,0.4645388413301206,0.832909122935104,7.777373602657861,8.938664185829015,6246.0,0.7381205462026765,4.433,15.046
10597693,K02958.01,1,1.0,3.484571061636439,1.0612565021243408,6.453624998892692,3.66612246699132,6341.0,0.7095125346462096,4.446,14.756
7466270,K02959.01,1,0.782,2.84234013263001,1.1118575154181303,6.1224928095143865,2.4069451083182885,4504.0,0.4252677354043441,4.713,15.771
10876237,K02960.01,0,0.0,0.9025744892322302,0.9555114450274363,7.813187267521416,9.083143161709183,6230.0,1.1600209167967532,3.847,13.147
12314973,K00279.01,2,1.0,3.3828599713511074,1.9572739077056285,6.646390514847729,4.4272389774954295,6206.0,0.945072533299607,4.159,11.684
3346154,K02723.01,2,1.0,1.0827237859223378,1.275362800412609,7.247080584585756,6.822360775965189,5741.0,0.6657759837638133,4.495,14.575
5308387,K02724.01,0,0.0,0.48288262960917727,3.410487428569248,7.988882253309227,9.793967843858567,6559.0,0.9562803800903136,4.133,12.878
10363281,K02726.01,0,0.0,0.6600684311516881,1.1908875647772805,8.057377488557991,10.066201463023875,6477.0,1.2886815322528902,3.781,12.31
4861527,K02727.01,0,0.0,3.284867877866325,1.0116009116784799,6.508769136971682,3.8869103046130706,6326.0,0.6936470556015963,4.459,13.859
